"family_id","method","supported_attempted","success","runtime_sec","max_abs_diff_vs_glmnet","prediction_shape","error_message","note"
"gaussian","fbrglm",TRUE,TRUE,0.00599999999999978,0,"vec(200)",NA,"fbrglm formula API"
"gaussian","glmnet_raw",TRUE,TRUE,0.00299999999999967,0,"vec(200)",NA,"matrix API; reference"
"gaussian","glmnetUtils",TRUE,TRUE,0.00800000000000001,0,"vec(200)",NA,"glmnetUtils formula API"
"gaussian","parsnip_workflow",TRUE,TRUE,0.0149999999999997,1.24500409981465e-12,"vec(200)",NA,"tidymodels workflow"
"binomial","fbrglm",TRUE,TRUE,0.00600000000000023,0,"vec(200)",NA,"fbrglm formula API"
"binomial","glmnet_raw",TRUE,TRUE,0.00300000000000011,0,"vec(200)",NA,"matrix API; reference"
"binomial","glmnetUtils",TRUE,TRUE,0.00400000000000045,0,"vec(200)",NA,"glmnetUtils formula API"
"binomial","parsnip_workflow",TRUE,TRUE,0.016,1.17800645099142e-05,"vec(200)",NA,"tidymodels workflow"
"poisson","fbrglm",TRUE,TRUE,0.00499999999999989,0,"vec(200)",NA,"fbrglm formula API"
"poisson","glmnet_raw",TRUE,TRUE,0.00300000000000011,0,"vec(200)",NA,"matrix API; reference"
"poisson","glmnetUtils",TRUE,TRUE,0.00399999999999956,0,"vec(200)",NA,"glmnetUtils formula API"
"poisson","parsnip_workflow",FALSE,FALSE,NA,NA,NA,"no parsnip path tried: requires the poissonreg extension","no parsnip path tried: requires the poissonreg extension"
"gamma","fbrglm",TRUE,TRUE,0.0209999999999999,0,"vec(200)",NA,"fbrglm formula API"
"gamma","glmnet_raw",TRUE,TRUE,0.00999999999999979,0,"vec(200)",NA,"matrix API; reference"
"gamma","glmnetUtils",TRUE,TRUE,0.0120000000000005,0,"vec(200)",NA,"glmnetUtils formula API"
"gamma","parsnip_workflow",FALSE,FALSE,NA,NA,NA,"no parsnip equivalent for Gamma + glmnet engine","no parsnip equivalent for Gamma + glmnet engine"
"negbin_fixed_theta","fbrglm",TRUE,TRUE,0.0110000000000001,0,"vec(200)",NA,"fbrglm formula API"
"negbin_fixed_theta","glmnet_raw",TRUE,TRUE,0.00900000000000034,0,"vec(200)",NA,"matrix API; reference"
"negbin_fixed_theta","glmnetUtils",TRUE,TRUE,0.00999999999999979,0,"vec(200)",NA,"glmnetUtils formula API"
"negbin_fixed_theta","parsnip_workflow",FALSE,FALSE,NA,NA,NA,"no parsnip equivalent for fixed-theta negative binomial + glmnet","no parsnip equivalent for fixed-theta negative binomial + glmnet"
"cox","fbrglm",TRUE,TRUE,0.00699999999999967,0,"vec(200)",NA,"fbrglm formula API"
"cox","glmnet_raw",TRUE,TRUE,0.00300000000000011,0,"vec(200)",NA,"matrix API; reference"
"cox","glmnetUtils",TRUE,TRUE,0.00400000000000045,0,"vec(200)",NA,"glmnetUtils formula API"
"cox","parsnip_workflow",FALSE,FALSE,NA,NA,NA,"Cox in parsnip needs the censored extension; not used here","Cox in parsnip needs the censored extension; not used here"
"multinomial","fbrglm",TRUE,TRUE,0.0170000000000003,0,"matrix(200,3)",NA,"fbrglm formula API"
"multinomial","glmnet_raw",TRUE,TRUE,0.00699999999999967,0,"matrix(200,3)",NA,"matrix API; reference"
"multinomial","glmnetUtils",TRUE,TRUE,0.00900000000000034,0,"matrix(200,3)",NA,"glmnetUtils formula API"
"multinomial","parsnip_workflow",TRUE,TRUE,0.0209999999999999,0,"vec(600)",NA,"tidymodels workflow"
"mgaussian","fbrglm",TRUE,TRUE,0.00900000000000034,0,"matrix(200,2)",NA,"fbrglm formula API"
"mgaussian","glmnet_raw",TRUE,TRUE,0.00499999999999989,0,"matrix(200,2)",NA,"matrix API; reference"
"mgaussian","glmnetUtils",TRUE,TRUE,0.00599999999999934,0,"matrix(200,2)",NA,"glmnetUtils formula API"
"mgaussian","parsnip_workflow",FALSE,FALSE,NA,NA,NA,"no parsnip equivalent for multi-response gaussian","no parsnip equivalent for multi-response gaussian"
