"scenario","n","p_numeric","n_factor","n_levels","method","iteration","runtime_sec","success","error_message"
"n200_p5",200,5,0,0,"fbrglm",1,0.00512534892186522,TRUE,NA
"n200_p5",200,5,0,0,"fbrglm",2,0.0050819480093196,TRUE,NA
"n200_p5",200,5,0,0,"fbrglm",3,0.00484296097420156,TRUE,NA
"n200_p5",200,5,0,0,"fbrglm",4,0.00471367011778057,TRUE,NA
"n200_p5",200,5,0,0,"fbrglm",5,0.00891421106643975,TRUE,NA
"n200_p5",200,5,0,0,"glmnet_raw",1,0.0024873650399968,TRUE,NA
"n200_p5",200,5,0,0,"glmnet_raw",2,0.00243647198658437,TRUE,NA
"n200_p5",200,5,0,0,"glmnet_raw",3,0.00252056703902781,TRUE,NA
"n200_p5",200,5,0,0,"glmnet_raw",4,0.00255139509681612,TRUE,NA
"n200_p5",200,5,0,0,"glmnet_raw",5,0.00254869903437793,TRUE,NA
"n200_p5",200,5,0,0,"glmnetUtils",1,0.0041719350265339,TRUE,NA
"n200_p5",200,5,0,0,"glmnetUtils",2,0.00414990202989429,TRUE,NA
"n200_p5",200,5,0,0,"glmnetUtils",3,0.00417847000062466,TRUE,NA
"n200_p5",200,5,0,0,"glmnetUtils",4,0.00409424991812557,TRUE,NA
"n200_p5",200,5,0,0,"glmnetUtils",5,0.00404719507787377,TRUE,NA
"n200_p5",200,5,0,0,"parsnip_workflow",1,0.0167545039439574,TRUE,NA
"n200_p5",200,5,0,0,"parsnip_workflow",2,0.0163485759403557,TRUE,NA
"n200_p5",200,5,0,0,"parsnip_workflow",3,0.0163341730367392,TRUE,NA
"n200_p5",200,5,0,0,"parsnip_workflow",4,0.0155043199192733,TRUE,NA
"n200_p5",200,5,0,0,"parsnip_workflow",5,0.0160497229080647,TRUE,NA
"n1000_p20",1000,20,0,0,"fbrglm",1,0.00705969904083759,TRUE,NA
"n1000_p20",1000,20,0,0,"fbrglm",2,0.00709682004526258,TRUE,NA
"n1000_p20",1000,20,0,0,"fbrglm",3,0.00766124203801155,TRUE,NA
"n1000_p20",1000,20,0,0,"fbrglm",4,0.00722350797150284,TRUE,NA
"n1000_p20",1000,20,0,0,"fbrglm",5,0.00719405605923384,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnet_raw",1,0.00307809910736978,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnet_raw",2,0.00321964209433645,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnet_raw",3,0.00317059503868222,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnet_raw",4,0.00312949100043625,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnet_raw",5,0.00296199799049646,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnetUtils",1,0.0069050119491294,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnetUtils",2,0.00701734202448279,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnetUtils",3,0.00668299698736519,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnetUtils",4,0.00646509299986064,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnetUtils",5,0.00666970992460847,TRUE,NA
"n1000_p20",1000,20,0,0,"parsnip_workflow",1,0.023014270933345,TRUE,NA
"n1000_p20",1000,20,0,0,"parsnip_workflow",2,0.0230967589886859,TRUE,NA
"n1000_p20",1000,20,0,0,"parsnip_workflow",3,0.0224804559256881,TRUE,NA
"n1000_p20",1000,20,0,0,"parsnip_workflow",4,0.0221182239474729,TRUE,NA
