"scenario","method","median_ms","relative_to_raw_glmnet","interpretation"
"n200_p5","fbrglm",4.94877807796001,1.82069220489028,"lightweight formula interface"
"n200_p5","glmnet_raw",2.71807506214827,1,"fastest matrix API"
"n200_p5","glmnetUtils",3.9690729463473,1.46025141160387,"formula interface"
"n200_p5","parsnip_workflow",15.7041379716247,5.777668979904,"full workflow framework"
"n1000_p20","fbrglm",7.34072201885283,2.38502313278315,"lightweight formula interface"
"n1000_p20","glmnet_raw",3.07784101460129,1,"fastest matrix API"
"n1000_p20","glmnetUtils",6.92946405615658,2.25140415742177,"formula interface"
"n1000_p20","parsnip_workflow",22.9136859998107,7.44472696643786,"full workflow framework"
"n1000_p20_f10","fbrglm",7.12543702684343,2.38999881763329,"lightweight formula interface"
"n1000_p20_f10","glmnet_raw",2.9813558794558,1,"fastest matrix API"
"n1000_p20_f10","glmnetUtils",8.01035203039646,2.68681511173991,"formula interface"
"n1000_p20_f10","parsnip_workflow",27.0179290091619,9.06229584845591,"full workflow framework"
"n2000_p50_f20","fbrglm",13.5917080333456,2.94598743427304,"lightweight formula interface"
"n2000_p50_f20","glmnet_raw",4.61363408248872,1,"fastest matrix API"
"n2000_p50_f20","glmnetUtils",16.5380240650848,3.58459812143657,"formula interface"
"n2000_p50_f20","parsnip_workflow",55.0540219992399,11.9328973678689,"full workflow framework"
