"scenario","n","p_numeric","n_factor","n_levels","method","runtime_sec","success","error_message"
"n200_p5",200,5,0,0,"fbrglm",0.00489925313740969,TRUE,NA
"n200_p5",200,5,0,0,"glmnet_raw",0.00267969409469515,TRUE,NA
"n200_p5",200,5,0,0,"glmnetUtils",0.00398406002204865,TRUE,NA
"n200_p5",200,5,0,0,"parsnip_workflow",0.0158105860464275,TRUE,NA
"n1000_p20",1000,20,0,0,"fbrglm",0.00719444314017892,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnet_raw",0.00304467801470309,TRUE,NA
"n1000_p20",1000,20,0,0,"glmnetUtils",0.0065636970102787,TRUE,NA
"n1000_p20",1000,20,0,0,"parsnip_workflow",0.0221987110562623,TRUE,NA
"n1000_p20_f10",1000,20,1,10,"fbrglm",0.00754707108717412,TRUE,NA
"n1000_p20_f10",1000,20,1,10,"glmnet_raw",0.00324565009213984,TRUE,NA
"n1000_p20_f10",1000,20,1,10,"glmnetUtils",0.00785386306233704,TRUE,NA
"n1000_p20_f10",1000,20,1,10,"parsnip_workflow",0.0266226980602369,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"fbrglm",0.014382871100679,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnet_raw",0.00481682003010064,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnetUtils",0.0158640750451013,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"parsnip_workflow",0.0553772879065946,TRUE,NA
